1, 2.26221, 1.86029, EDDI, P32N21BTN77PW, 2022-09-30 16:56:52,
2, 2.20969, 1.81229, EDDI, P32N21BTN77PW, 2022-09-30 16:56:53,
3, 4.34397, 3.95115, EDDI, P32N21BTN77PW, 2022-09-30 16:56:54,
4, 4.05745, 3.66926, EDDI, P32N21BTN77PW, 2022-09-30 16:56:55,
5, 1.83252, 1.44901, EDDI, P32N21BTN77PW, 2022-09-30 16:56:56,
6, 1.88333, 1.50455, EDDI, P32N21BTN77PW, 2022-09-30 16:56:57,
7, 2.73908, 2.36508, EDDI, P32N21BTN77PW, 2022-09-30 16:56:58,
8, 3.46014, 3.09098, EDDI, P32N21BTN77PW, 2022-09-30 16:56:59,
9, 2.30953, 1.94525, EDDI, P32N21BTN77PW, 2022-09-30 16:57:00,
10, 3.05184, 2.6925, EDDI, P32N21BTN77PW, 2022-09-30 16:57:01,
11, 2.24318, 1.88883, EDDI, P32N21BTN77PW, 2022-09-30 16:57:02,
12, 3.91211, 3.5628, EDDI, P32N21BTN77PW, 2022-09-30 16:57:03,
13, 3.59036, 3.24614, EDDI, P32N21BTN77PW, 2022-09-30 16:57:04,
14, 4.0647, 3.72562, EDDI, P32N21BTN77PW, 2022-09-30 16:57:05,
15, 3.48699, 3.15311, EDDI, P32N21BTN77PW, 2022-09-30 16:57:06,
16, 3.33663, 3.00799, EDDI, P32N21BTN77PW, 2022-09-30 16:57:07,
17, 3.75981, 3.43646, EDDI, P32N21BTN77PW, 2022-09-30 16:57:08,
18, 3.75165, 3.43365, EDDI, P32N21BTN77PW, 2022-09-30 16:57:09,
19, 2.09932, 1.78671, EDDI, P32N21BTN77PW, 2022-09-30 16:57:10,
20, -0.0412572, -0.348419, EDDI, P32N21BTN77PW, 2022-09-30 16:57:11,
21, 2.58832, 2.28665, EDDI, P32N21BTN77PW, 2022-09-30 16:57:12,
22, 1.14211, 0.845993, EDDI, P32N21BTN77PW, 2022-09-30 16:57:13,
23, 3.10637, 2.81585, EDDI, P32N21BTN77PW, 2022-09-30 16:57:14,
